author,comments,images,pushes
li08090627 (Ian),5,4,4
NaTaiUni (那提污泥),107,11,86
fack3170 (JC),31,7,23
fack3170 (JC),6,13,6
ReiKuromiya (Rei Kuromiya),34,17,28
boyen3 (Mentirosa!!),26,1,5
fack3170 (JC),28,16,17
NaTaiUni (那提污泥),96,7,30
NCCUOnline (嗯嘻嘻唷昂賴),8,6,3
fack3170 (JC),30,13,15
ICHIKOnice (我是阿宅),98,7,75
ReiKuromiya (Rei Kuromiya),4,1,4
yellowsayshi (無我狀態),33,8,13
rados (晚上烤肉誰帶肉?),27,5,16
fack3170 (JC),83,52,73
VrGnKiler (BadassSTATHAM),9,6,5
teramars (tomorrow never knows),25,6,20
lin852 (中央KD),47,11,30
andy16384257 (安迪),3,10,3
IzumiKonata ( ),15,13,9
ae108 (Heathrow),27,8,22
NaTaiUni (那提污泥),5,15,2
tang2251842 (TYY),9,2,0
NCCUOnline (嗯嘻嘻唷昂賴),6,5,2
NCCUOnline (嗯嘻嘻唷昂賴),6,4,4
NCCUOnline (嗯嘻嘻唷昂賴),3,5,1
airgp32002 (airgp32002),197,16,144
bsybsyqq (台灣人民),4,8,2
HarunaOno (Scandal最高),59,88,54
satomigakki (我覺得可以),86,20,79
ReiKuromiya (Rei Kuromiya),41,16,34
hmt17 (Popo:(bﾟ▽ﾟ)b),13,17,8
yihomejeng (brett152),18,1,7
NCCUOnline (嗯嘻嘻唷昂賴),19,5,8
NCCUOnline (嗯嘻嘻唷昂賴),6,5,3
NCCUOnline (嗯嘻嘻唷昂賴),3,10,2
johncika11 (maycolas),2,10,1
ReiKuromiya (Rei Kuromiya),8,3,6
ReiKuromiya (Rei Kuromiya),34,9,25
a87929548a (粉紅金剛芭比),16,3,0
MarioBro (聽說本能寺著火了),15,25,12
ckshchen (尖酸苛博文),42,5,37
ClownT (克朗),107,7,85
Arschloch (Arschloch),23,14,13
NaTaiUni (那提污泥),28,7,19
likeoohahh ((・ω・)),249,11,210
andy16384257 (安迪),2,10,2
LoveWin7 (WIN 7再戰10年),60,1,32
Pathetic1 (Jin),5,1,3
li08090627 (Ian),6,1,0
leemz (),4,3,2
FriesMan (薯條人),83,1,53
NCCUOnline (嗯嘻嘻唷昂賴),4,4,0
NCCUOnline (嗯嘻嘻唷昂賴),3,5,1
NCCUOnline (嗯嘻嘻唷昂賴),3,5,2
Black3831372 (男哥是我),111,131,99
lowlow1980 (revenge),22,6,19
likeoohahh ((・ω・)),67,14,63
airgp32002 (airgp32002),21,8,18
lweijhe (linp),16,1,11
Arschloch (Arschloch),143,16,100
Kuru991 (城武),237,14,210
Steven1368 (邊緣天龍人),27,10,15
NCCUOnline (嗯嘻嘻唷昂賴),9,6,5
Steven1368 (邊緣天龍人),24,7,19
NCCUOnline (嗯嘻嘻唷昂賴),2,5,2
NCCUOnline (嗯嘻嘻唷昂賴),3,5,3
NCCUOnline (嗯嘻嘻唷昂賴),2,6,2
gto3ping (我愛3P),3,1,2
fack3170 (JC),207,14,152
yell2365 (dora la),28,1,8
fack3170 (JC),3,10,3
fack3170 (JC),6,8,4
YenFuOne (焉芙丸),8,3,2
JoseAltuve (阿土伯),105,2,56
kimiboy (),35,4,18
Alkaid0814 (芭樂),6,3,4
ttwinu (阿雄),16,4,9
hk5566 (),6,1,4
JHGF2468A (Joker),19,9,10
xibi11231123 (小洋),14,6,12
Black3831372 (男哥是我),83,37,78
lweijhe (linp),19,3,14
CrazyMadness (瘋狂麥德斯),49,27,37
NCCUOnline (嗯嘻嘻唷昂賴),8,6,5
NCCUOnline (嗯嘻嘻唷昂賴),4,7,1
NCCUOnline (嗯嘻嘻唷昂賴),14,5,6
yuanptt (影嵐),4,3,0
ck7696 (鵝),43,4,21
gto3ping (我愛3P),18,7,14
Cahill (卡希爾),21,21,8
qzwxecrv55 (Ling),27,17,22
wowann (那些無所謂的反而很難忘),11,2,2
Black3831372 (男哥是我),97,19,88
BonerOuO (>凸<),22,15,12
dickie (didi),16,1,3
yanzoku (不要不要的),5,5,4
jedy05097952 (hiro),42,5,32
NCCUOnline (嗯嘻嘻唷昂賴),14,7,5
NCCUOnline (嗯嘻嘻唷昂賴),8,6,3
NCCUOnline (嗯嘻嘻唷昂賴),41,7,30
NCCUOnline (嗯嘻嘻唷昂賴),2,5,0
AXCHIU (R柴),26,16,17
William0703 (William),31,8,20
CrazyMadness (瘋狂麥德斯),78,11,73
gordon185 (Gordon喆哥),20,1,8
ppedd (piggg),36,5,27
nckuai3 (AI3),11,1,2
AmedRosario (SS),30,4,24
Kyle5566 (高雄劉德華),134,13,108
FrancisHuang (像法轉時),19,3,17
Lumia520 (@@),8,1,8
Black3831372 (男哥是我),65,25,60
xibi11231123 (小洋),19,8,11
shiyo729 (Viva la Shiyo),85,55,67
andysam (只想追求一種感覺),5,1,1
NCCUOnline (嗯嘻嘻唷昂賴),21,6,16
csghuuguh (ggininder),2,1,2
pigo8032 (),27,13,25
yoyugood (~~),3,2,3
yellowsayshi (無我狀態),71,7,46
xibi11231123 (小洋),40,9,27
Marwan (烤肉爐),27,11,18
teramars (tomorrow never knows),103,4,82
FrancisHuang (像法轉時),5,1,4
Black3831372 (男哥是我),164,40,105
rasiel0919 (嗜插貓鄰居的阿姨的熱狗),44,9,32
NCCUOnline (嗯嘻嘻唷昂賴),29,7,10
NCCUOnline (嗯嘻嘻唷昂賴),4,6,3
NCCUOnline (嗯嘻嘻唷昂賴),11,9,5
pttloser5566 (200GANA-070),16,12,10
gn01657736 (Julian),56,1,27
likeoohahh ((・ω・)),113,12,91
