品名,價格,價格2,折扣%,評價,評論數
Logitech H150 Wired Headset,"₹1,290","₹1,495",13% off,3.9,(328)
Adada Pouch for Logitech mouse,"₹1,793","₹3,586",50% off,,
Logitech 1 Pcs Comfort Mouse Pad Long Lasting Mousepad,₹121,₹150,19% off,3.9,"(2,381)"
Logitech LOGIPURPLE001 Mousepad,₹99,₹300,67% off,2.8,(17)
Logitech Dotionmo Mousepad,₹125,₹150,16% off,,
Logitech LG005 Mousepad,₹105,₹299,64% off,3.8,(6)
Logitech H570e Wired Headset,"₹4,900","₹4,995",1% off,,
Hermitshell  Keyboard Case for Logitech,"₹3,205","₹4,167",23% off,,
"Logitech HD Webcam C525, Portable HD 720p Video Calling...","₹3,550","₹4,295",17% off,4.1,(14)
Logitech Pebble M350 Wireless Optical Mouse,"₹1,899","₹1,995",4% off,4.7,(27)
